Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Ice Cream,https://www.leafly.com/strains/ice-cream,Hybrid,"aka Ice Cream Kush, Ice Cream #1, Ice Cream #3",4.2,(245),THC 18%,CBG 1%,Hungry,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Ice%20Cream,shop menus,,,,,,,,,,,,
Cookies Kush,https://www.leafly.com/strains/cookies-kush,Indica,"aka Cookie Kush, Girl Scout Cookies Kush, GSC Kush",4.5,(330),THC 19%,CBG 1%,Sleepy,Limonene,,,,,,,,,,,,,,
Guava,https://www.leafly.com/strains/guava,Sativa,,4.5,(59),THC 19%,CBG 1%,Uplifted,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Guava,shop menus,,,,,,,,,,,,
Gelato Cake,https://www.leafly.com/strains/gelato-cake,Hybrid,,4.6,(108),THC 20%,CBG 1%,Sleepy,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gelato%20Cake,shop menus,,,,,,,,,,,,
Motorbreath,https://www.leafly.com/strains/motorbreath,Hybrid,,4.7,(259),THC 25%,CBG 1%,Euphoric,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Motorbreath,shop menus,,,,,,,,,,,,
Tangie,https://www.leafly.com/strains/tangie,Sativa,,4.4,(1279),THC 17%,CBG 1%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Tangie,shop menus,,,,,,,,,,,,
Platinum OG,https://www.leafly.com/strains/platinum-og,Indica,,4.4,(969),THC 19%,CBD 0%,Sleepy,Myrcene,,,,,,,,,,,,,,
Platinum Cookies,https://www.leafly.com/strains/platinum-gsc,Hybrid,"aka Platinum Girl Scout Cookies, Platinum GSC, PGSC",4.5,(1362),THC 17%,CBD 0%,Relaxed,Caryophyllene,,,,,,,,,,,,,,
Black Diamond,https://www.leafly.com/strains/black-diamond,Indica,"aka Black Diamond OG, Black Diamond Kush",4.4,(464),THC 17%,CBG 1%,Hungry,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Black%20Diamond,shop menus,,,,,,,,,,,,
Horchata,https://www.leafly.com/strains/horchata,Hybrid,,4.7,(63),THC 25%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Horchata,shop menus,,,,,,,,,,,,
Mochi,https://www.leafly.com/strains/mochi,Hybrid,"aka Gelato 47, Mochi Gelato",4.6,(102),THC 10%,CBD 0%,Sleepy,Myrcene,,,,,,,,,,,,,,
Papaya,https://www.leafly.com/strains/papaya,Indica,,4.3,(313),THC 17%,CBG 1%,Sleepy,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Papaya,shop menus,,,,,,,,,,,,
Fire OG,https://www.leafly.com/strains/fire-og,Hybrid,aka Fire OG Kush,4.4,(1190),THC 20%,CBD 0%,Hungry,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Fire%20OG,shop menus,,,,,,,,,,,,
Mango Kush,https://www.leafly.com/strains/mango-kush,Hybrid,,4.2,(1230),THC 21%,CBG 1%,Giggly,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Mango%20Kush,shop menus,,,,,,,,,,,,
Black Cherry Gelato,https://www.leafly.com/strains/black-cherry-gelato,Hybrid,,4.8,(32),THC 22%,CBD 0%,Hungry,Myrcene,,,,,,,,,,,,,,
Italian Ice,https://www.leafly.com/strains/italian-ice,Hybrid,,4.3,(134),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Gelatti,https://www.leafly.com/strains/gelatti,Hybrid,,4.6,(71),THC 23%,CBG 1%,Happy,Caryophyllene,,,,,,,,,,,,,,
White Rhino,https://www.leafly.com/strains/white-rhino,Indica,,4.1,(1221),THC 19%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Black Runtz,https://www.leafly.com/strains/black-runtz,Hybrid,,4.7,(67),THC 24%,CBD 0%,Aroused,Limonene,,,,,,,,,,,,,,
Pancakes,https://www.leafly.com/strains/pancakes,Hybrid,,4.1,(46),THC 27%,CBG 1%,Focused,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Pancakes,shop menus,,,,,,,,,,,,
Skunk 1,https://www.leafly.com/strains/skunk-1,Hybrid,"aka Skunk No. 1, Skunk, Skunk #1",4.1,(498),THC 17%,CBG 1%,Hungry,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Skunk%201,shop menus,,,,,,,,,,,,
Cinderella 99,https://www.leafly.com/strains/cinderella-99,Hybrid,"aka C99, Cindy 99, Cindy",4.2,(1159),THC 18%,CBG 1%,Energetic,Limonene,,,,,,,,,,,,,,
